Ref,Val,Package,PosX,PosY,Rot,Side
"BT1","Battery","BatteryHolder_TruPower_BH-331P_3xAA",156.113000,-86.360000,180.000000,bottom
"C1","4.7uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",91.049388,-129.233921,0.000000,bottom
"C2","4.7uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",91.049388,-127.233921,0.000000,bottom
"C3","3.3pF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",96.586888,-121.733921,-90.000000,bottom
"C4","4.7uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",90.086888,-118.733921,-90.000000,bottom
"C5","4.7uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",92.086888,-118.733921,-90.000000,bottom
"D51","BAT54W-HG3-18","D_SOD-123",96.552172,-128.729901,90.000000,bottom
"D52","BAT54W-HG3-18","D_SOD-123",87.736888,-119.233921,-90.000000,bottom
"J3","Conn_01x03_Female","PinHeader_1x03_P2.54mm_Vertical",82.947172,-115.976901,180.000000,bottom
"L1","3.3uH","L_1008_2520Metric_Pad1.43x2.20mm_HandSolder",87.736888,-124.373921,90.000000,bottom
"Q1","2N7002H","SOT-23",101.733172,-127.587901,180.000000,bottom
"Q2","DMP2012SN-7","SOT-23",101.670672,-121.537901,0.000000,bottom
"R1","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",98.838172,-129.491901,-90.000000,bottom
"R2","620k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",95.086888,-121.733921,-90.000000,bottom
"R3","200k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",93.586888,-123.733921,-90.000000,bottom
"R4","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",98.670672,-121.587901,-90.000000,bottom
"R5","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",103.670672,-124.537901,0.000000,bottom
"R6","500","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",92.599172,-62.941701,180.000000,bottom
"SW1","SW_MEC_5G","SW_SPST_EVPBF",129.127888,-149.045921,180.000000,bottom
"U1","Pico","RPi_Pico_SMD_TH",122.777888,-98.499921,-90.000000,bottom
"U2","TPS61040DDC","SOT-23-5",91.036888,-124.096421,-90.000000,bottom
